1_Government,2_Lockdown,3_COVID,4_Supplies,Other_1,Other_2,Other_3,Other_4
dynamic,COVID-zero,COVID-zero,pandemic,Face mask,COVID-zero,,COVID-zero
pandemic,Shanghai [✓],society,Prevent and control,COVID-zero,May,Control,sky
COVID-zero,society,level,Nucleic acid,wore,good luck,Activity,double
Economy [✓],level,Shanghai [2],Work [✓],risk,luck,center,May
China [✓],basic/almost,basic/almost,Screen,pandemic,Bad,Citizen,Bad
Policies [✓],standard,standard,Test,infect,Hello,COVID-zero,happiness
Develop [✓],pandemic,pandemic,Hope [✓],dynamic,Full,Prevent,︡
Virus [3],No,New [✓],Launch,Increase,willing,Implement,happy
persist in,lift quarantine,example,COVID-zero,video,April,Urban area,today
vaccine,today,Homeland,Beijing,great,risk,town,luck